date,state,fips,cases,deaths
2020-05-23,New York,36,364745,28900
2020-05-24,New York,36,366346,29046
2020-05-25,New York,36,367625,29138
2020-05-26,New York,36,368669,29241
2020-05-27,New York,36,369801,29339
2020-05-28,New York,36,371559,29438
2020-05-29,New York,36,373108,29535
2020-05-30,New York,36,374471,29612
2020-05-31,New York,36,375575,29699
2020-06-01,New York,36,376520,29766
2020-06-02,New York,36,377881,29847
2020-06-03,New York,36,378924,29918
2020-06-04,New York,36,379977,30011
2020-06-05,New York,36,381019,30066
2020-06-06,New York,36,382102,30123
2020-06-07,New York,36,382879,30183
2020-06-08,New York,36,383591,30239
2020-06-09,New York,36,384281,30309
2020-06-10,New York,36,384945,30376
2020-06-11,New York,36,385669,30431
2020-06-12,New York,36,386490,30511
2020-06-13,New York,36,387402,30565
2020-06-14,New York,36,388096,30605
2020-06-15,New York,36,388719,30645
2020-06-16,New York,36,389349,30683
2020-06-17,New York,36,389910,30722
2020-06-18,New York,36,390536,30767
2020-06-19,New York,36,391330,30816
2020-06-20,New York,36,392037,30839
2020-06-21,New York,36,392702,30884
2020-06-22,New York,36,393257,30934
2020-06-23,New York,36,393855,30970
2020-06-24,New York,36,394430,31001
2020-06-25,New York,36,395168,31029
2020-06-26,New York,36,395972,31075
2020-06-27,New York,36,396669,31105
2020-06-28,New York,36,397293,31137
2020-06-29,New York,36,397684,31143
2020-06-30,New York,36,398142,31776
2020-07-01,New York,36,398770,31791
2020-07-02,New York,36,399642,31814
2020-07-03,New York,36,400561,31836
2020-07-04,New York,36,401286,31860
2020-07-05,New York,36,401822,31895
2020-07-06,New York,36,402338,31911
2020-07-07,New York,36,402928,31934
2020-07-08,New York,36,403619,31945
2020-07-09,New York,36,404207,31979
2020-07-10,New York,36,404997,32004
2020-07-11,New York,36,405724,32019
2020-07-12,New York,36,406403,32029
2020-07-13,New York,36,406962,32075
2020-07-14,New York,36,407875,32092
2020-07-15,New York,36,408709,32115
2020-07-16,New York,36,409476,32133
2020-07-17,New York,36,410254,32147
2020-07-18,New York,36,411006,32167
2020-07-19,New York,36,411515,32187
2020-07-20,New York,36,412034,32203
2020-07-21,New York,36,412889,32218
2020-07-22,New York,36,413595,32228
2020-07-23,New York,36,414405,32270
2020-07-24,New York,36,415163,32278
2020-07-25,New York,36,415911,32295
2020-07-26,New York,36,416443,32305
2020-07-27,New York,36,417056,32322
2020-07-28,New York,36,417591,32333
2020-07-29,New York,36,418302,32342
2020-07-30,New York,36,419081,32362
2020-07-31,New York,36,419723,32372
2020-08-01,New York,36,420477,32390
2020-08-02,New York,36,421008,32401
2020-08-03,New York,36,421550,32413
2020-08-04,New York,36,422296,32422
2020-08-05,New York,36,422935,32431
2020-08-06,New York,36,423629,32329
2020-08-07,New York,36,424349,32336
2020-08-08,New York,36,425055,32345
2020-08-09,New York,36,425568,32354
2020-08-10,New York,36,426046,32361
2020-08-11,New York,36,426713,32372
2020-08-12,New York,36,427419,32384
2020-08-13,New York,36,428155,32399
2020-08-14,New York,36,428879,32407
2020-08-15,New York,36,429617,32414
2020-08-16,New York,36,430226,32424
2020-08-17,New York,36,430636,32435
2020-08-18,New York,36,431298,32446
2020-08-19,New York,36,431924,32451
2020-08-20,New York,36,432523,32451
2020-08-21,New York,36,433230,32456
2020-08-22,New York,36,433881,32464
2020-08-23,New York,36,434462,32482
2020-08-24,New York,36,434866,32489
2020-08-25,New York,36,435495,32495
2020-08-26,New York,36,436063,32499
2020-08-27,New York,36,436852,32507
2020-08-28,New York,36,437487,32515
2020-08-29,New York,36,438122,32522
2020-08-30,New York,36,438831,32534
2020-08-31,New York,36,439480,32541
2020-09-01,New York,36,440237,32551
2020-09-02,New York,36,440947,32559
2020-09-03,New York,36,441835,32567
2020-09-04,New York,36,442698,32573
2020-09-05,New York,36,443497,32579
2020-09-06,New York,36,444226,32585
2020-09-07,New York,36,444751,32600
2020-09-08,New York,36,445308,32612
2020-09-09,New York,36,445881,32611
2020-09-10,New York,36,446637,32618
2020-09-11,New York,36,447498,32619
2020-09-12,New York,36,448347,32625
2020-09-13,New York,36,449072,32629
2020-09-14,New York,36,449658,32639
2020-09-15,New York,36,450425,32655
2020-09-16,New York,36,451078,32662
2020-09-17,New York,36,451971,32669
2020-09-18,New York,36,452764,32682
2020-09-19,New York,36,453747,32679
2020-09-20,New York,36,454612,32686
2020-09-21,New York,36,455187,32691
2020-09-22,New York,36,455938,32690
2020-09-23,New York,36,456604,32691
2020-09-24,New York,36,457557,32696
2020-09-25,New York,36,458466,32708
2020-09-26,New York,36,459472,32713
2020-09-27,New York,36,460340,32722
2020-09-28,New York,36,461176,32737
2020-09-29,New York,36,462364,32743
2020-09-30,New York,36,463369,32757
2020-10-01,New York,36,464752,32768
2020-10-02,New York,36,466353,32789
2020-10-03,New York,36,468081,32794
2020-10-04,New York,36,469307,32813
2020-10-05,New York,36,470244,32827
2020-10-06,New York,36,471638,32836
2020-10-07,New York,36,472994,32850
2020-10-08,New York,36,474829,32859
2020-10-09,New York,36,476422,32867
2020-10-10,New York,36,477870,32875
2020-10-11,New York,36,479013,32879
2020-10-12,New York,36,480045,32896
2020-10-13,New York,36,481436,32905
2020-10-14,New York,36,482671,32916
2020-10-15,New York,36,484135,32935
2020-10-16,New York,36,485838,32944
2020-10-17,New York,36,487626,32959
2020-10-18,New York,36,489016,32972
2020-10-19,New York,36,490015,32990
2020-10-20,New York,36,491216,32998
2020-10-21,New York,36,493245,33005
2020-10-22,New York,36,494874,33022
2020-10-23,New York,36,496510,33038
2020-10-24,New York,36,498568,33049
2020-10-25,New York,36,500201,33059
2020-10-26,New York,36,501393,33073
2020-10-27,New York,36,503387,33092
2020-10-28,New York,36,505416,33107
2020-10-29,New York,36,507913,33128
2020-10-30,New York,36,510171,33143
2020-10-31,New York,36,512223,33152
2020-11-01,New York,36,514482,33174
2020-11-02,New York,36,516114,33187
2020-11-03,New York,36,518431,33198
2020-11-04,New York,36,520557,33222
2020-11-05,New York,36,523559,33247
2020-11-06,New York,36,526767,33267
2020-11-07,New York,36,530354,33287
2020-11-08,New York,36,533784,33314
2020-11-09,New York,36,536933,33343
2020-11-10,New York,36,540897,33373
2020-11-11,New York,36,545718,33398
2020-11-12,New York,36,550516,33424
2020-11-13,New York,36,555917,33452
2020-11-14,New York,36,561308,33477
2020-11-15,New York,36,564952,33508
2020-11-16,New York,36,568450,33540
2020-11-17,New York,36,573544,33576
2020-11-18,New York,36,578826,33607
2020-11-19,New York,36,584128,33648
2020-11-20,New York,36,589605,33696
2020-11-21,New York,36,595581,33737
2020-11-22,New York,36,600967,33767
2020-11-23,New York,36,606878,33804
2020-11-24,New York,36,611756,33847
2020-11-25,New York,36,618023,33890
2020-11-26,New York,36,624961,33959
2020-11-27,New York,36,633140,34004
2020-11-28,New York,36,639200,34049
2020-11-29,New York,36,645932,34101
2020-11-30,New York,36,652748,34150
2020-12-01,New York,36,660041,34222
2020-12-02,New York,36,669016,34286
2020-12-03,New York,36,678869,34346
2020-12-04,New York,36,690143,34409
2020-12-05,New York,36,700902,34488
2020-12-06,New York,36,710612,34552
2020-12-07,New York,36,718991,34637
2020-12-08,New York,36,728010,34723
2020-12-09,New York,36,738947,34799
2020-12-10,New York,36,749204,34884
2020-12-11,New York,36,759765,34983
2020-12-12,New York,36,770804,35074
2020-12-13,New York,36,780831,35198
2020-12-14,New York,36,789815,35288
2020-12-15,New York,36,799551,35425
2020-12-16,New York,36,808929,35522
2020-12-17,New York,36,819427,35647
2020-12-18,New York,36,832033,35775
2020-12-19,New York,36,841946,35897
2020-12-20,New York,36,851400,36017
2020-12-21,New York,36,860856,36147
2020-12-22,New York,36,871155,36300
2020-12-23,New York,36,882895,36454
2020-12-24,New York,36,896242,36604
2020-12-25,New York,36,909123,36739
2020-12-26,New York,36,920171,36870
2020-12-27,New York,36,928376,37000
2020-12-28,New York,36,938710,37118
2020-12-29,New York,36,950730,37256
2020-12-30,New York,36,963647,37412
2020-12-31,New York,36,979040,37557
2021-01-01,New York,36,996073,37733
2021-01-02,New York,36,1011922,37854
2021-01-03,New York,36,1024154,38001
2021-01-04,New York,36,1035396,38167
2021-01-05,New York,36,1048538,38315
2021-01-06,New York,36,1064554,38486
2021-01-07,New York,36,1082142,38683
2021-01-08,New York,36,1101702,38846
2021-01-09,New York,36,1119541,39041
2021-01-10,New York,36,1135849,39208
2021-01-11,New York,36,1150028,39404
2021-01-12,New York,36,1164819,39588
2021-01-13,New York,36,1179523,39760
2021-01-14,New York,36,1193710,39997
2021-01-15,New York,36,1213179,40203
2021-01-16,New York,36,1229124,40376
2021-01-17,New York,36,1242818,40570
2021-01-18,New York,36,1256228,40753
2021-01-19,New York,36,1268949,40933
2021-01-20,New York,36,1280068,41148
2021-01-21,New York,36,1293976,41348
2021-01-22,New York,36,1309660,41530
2021-01-23,New York,36,1323569,41694
2021-01-24,New York,36,1335952,41889
2021-01-25,New York,36,1347924,42090
2021-01-26,New York,36,1358964,42273
2021-01-27,New York,36,1369329,42434
2021-01-28,New York,36,1383112,42639
2021-01-29,New York,36,1396063,42825
2021-01-30,New York,36,1408955,42996
2021-01-31,New York,36,1420164,43178
2021-02-01,New York,36,1429096,43354
2021-02-02,New York,36,1437045,43524
2021-02-03,New York,36,1444199,43687
2021-02-04,New York,36,1451169,43842
2021-02-05,New York,36,1459066,44012
2021-02-06,New York,36,1470558,44210
2021-02-07,New York,36,1480481,44387
2021-02-08,New York,36,1489453,44512
2021-02-09,New York,36,1497732,44683
2021-02-10,New York,36,1504316,44851
2021-02-11,New York,36,1514327,44992
2021-02-12,New York,36,1523042,45138
2021-02-13,New York,36,1531797,45295
2021-02-14,New York,36,1540127,45431
2021-02-15,New York,36,1546665,45552
2021-02-16,New York,36,1553374,45683
2021-02-17,New York,36,1559299,45807
2021-02-18,New York,36,1568881,45957
2021-02-19,New York,36,1577454,46119
2021-02-20,New York,36,1585692,46233
2021-02-21,New York,36,1591929,46346
2021-02-22,New York,36,1598226,46454
2021-02-23,New York,36,1605149,46562
2021-02-24,New York,36,1611288,46680
2021-02-25,New York,36,1620181,46790
2021-02-26,New York,36,1628255,46914
2021-02-27,New York,36,1636297,47025
2021-02-28,New York,36,1644124,47143
2021-03-01,New York,36,1650560,47247
2021-03-02,New York,36,1656941,47345
2021-03-03,New York,36,1663505,47464
2021-03-04,New York,36,1670973,47565
2021-03-05,New York,36,1679124,47672
2021-03-06,New York,36,1687250,47767
2021-03-07,New York,36,1694908,47857
2021-03-08,New York,36,1700348,47921
2021-03-09,New York,36,1707181,48000
2021-03-10,New York,36,1713287,48092
2021-03-11,New York,36,1720456,48208
2021-03-12,New York,36,1728900,48277
2021-03-13,New York,36,1734933,48370
2021-03-14,New York,36,1741620,48475
2021-03-15,New York,36,1748739,48537
2021-03-16,New York,36,1755450,48624
2021-03-17,New York,36,1762032,48686
2021-03-18,New York,36,1767547,48773
2021-03-19,New York,36,1772624,48848
2021-03-20,New York,36,1779291,48916
2021-03-21,New York,36,1783026,48942
2021-03-22,New York,36,1787934,48959
2021-03-23,New York,36,1794735,48977
2021-03-24,New York,36,1814919,49231
2021-03-25,New York,36,1823602,49305
2021-03-26,New York,36,1831605,49363
2021-03-27,New York,36,1840338,49446
2021-03-28,New York,36,1849190,49537
2021-03-29,New York,36,1858162,49648
2021-03-30,New York,36,1863912,49696
2021-03-31,New York,36,1871595,49790
2021-04-01,New York,36,1880768,49872
2021-04-02,New York,36,1888823,49946
2021-04-03,New York,36,1896534,50042
2021-04-04,New York,36,1904141,50124
2021-04-05,New York,36,1910858,50195
2021-04-06,New York,36,1916964,50239
2021-04-07,New York,36,1923414,50332
2021-04-08,New York,36,1932145,50388
2021-04-09,New York,36,1940703,50465
2021-04-10,New York,36,1948232,50527
2021-04-11,New York,36,1954809,50610
2021-04-12,New York,36,1960567,50693
2021-04-13,New York,36,1965610,50745
2021-04-14,New York,36,1971610,50839
2021-04-15,New York,36,1978594,50912
2021-04-16,New York,36,1984884,50965
2021-04-17,New York,36,1991271,51034
2021-04-18,New York,36,1996876,51077
2021-04-19,New York,36,2002053,51122
2021-04-20,New York,36,2006712,51183
2021-04-21,New York,36,2010967,51228
2021-04-22,New York,36,2016244,51299
2021-04-23,New York,36,2021094,51361
2021-04-24,New York,36,2025257,51419
2021-04-25,New York,36,2029307,51471
2021-04-26,New York,36,2032325,51511
2021-04-27,New York,36,2035668,51587
2021-04-28,New York,36,2038668,51608
2021-04-29,New York,36,2042530,51677
2021-04-30,New York,36,2046322,51728
2021-05-01,New York,36,2050174,51791
2021-05-02,New York,36,2053027,51830
2021-05-03,New York,36,2055467,51889
2021-05-04,New York,36,2057701,51949
2021-05-05,New York,36,2060075,52005
2021-05-06,New York,36,2062707,52038
2021-05-07,New York,36,2065172,52077
2021-05-08,New York,36,2068200,52118
2021-05-09,New York,36,2070603,52155
2021-05-10,New York,36,2072264,52192
2021-05-11,New York,36,2073713,52234
2021-05-12,New York,36,2075757,52291
2021-05-13,New York,36,2077961,52332
2021-05-14,New York,36,2080000,52366
2021-05-15,New York,36,2081761,52377
2021-05-16,New York,36,2083649,52417
2021-05-17,New York,36,2085028,52449
2021-05-18,New York,36,2086577,52480
2021-05-19,New York,36,2087900,52505
2021-05-20,New York,36,2089547,52531
2021-05-21,New York,36,2091142,52555
2021-05-22,New York,36,2092455,52572
2021-05-23,New York,36,2093529,52591
2021-05-24,New York,36,2094493,52621
2021-05-25,New York,36,2095438,52638
2021-05-26,New York,36,2096320,52664
2021-05-27,New York,36,2097465,52685
2021-05-28,New York,36,2098395,52710
2021-05-29,New York,36,2099261,52724
2021-05-30,New York,36,2100109,52740
2021-05-31,New York,36,2100633,52758
2021-06-01,New York,36,2101111,52784
2021-06-02,New York,36,2101514,52793
2021-06-03,New York,36,2102003,52811
2021-06-04,New York,36,2102760,52840
2021-06-05,New York,36,2103612,52852
2021-06-06,New York,36,2104103,52885
2021-06-07,New York,36,2104622,52895
2021-06-08,New York,36,2105081,52906
2021-06-09,New York,36,2105507,52914
2021-06-10,New York,36,2106056,52927
2021-06-11,New York,36,2106742,52942
2021-06-12,New York,36,2107172,52958
2021-06-13,New York,36,2107535,52968
2021-06-14,New York,36,2107912,52977
2021-06-15,New York,36,2108249,52993
2021-06-16,New York,36,2108535,52995
2021-06-17,New York,36,2108978,53009
2021-06-18,New York,36,2109393,53017
2021-06-19,New York,36,2109782,53024
2021-06-20,New York,36,2110069,53026
2021-06-21,New York,36,2110346,53034
2021-06-22,New York,36,2110612,53048
2021-06-23,New York,36,2110862,53056
2021-06-24,New York,36,2111245,53052
2021-06-25,New York,36,2111588,53060
2021-06-26,New York,36,2111933,53066
2021-06-27,New York,36,2112307,53081
2021-06-28,New York,36,2112628,53089
2021-06-29,New York,36,2112872,53093
2021-06-30,New York,36,2113147,53095
2021-07-01,New York,36,2113544,53107
2021-07-02,New York,36,2114018,53109
2021-07-03,New York,36,2114297,53109
2021-07-04,New York,36,2114609,53118
2021-07-05,New York,36,2114985,53122
2021-07-06,New York,36,2115292,53127
2021-07-07,New York,36,2115633,53134
2021-07-08,New York,36,2116270,53138
2021-07-09,New York,36,2117024,53142
2021-07-10,New York,36,2117754,53149
2021-07-11,New York,36,2118565,53151
